Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 10,Bay Ridge/Dyker Heights,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,56.3%,54.2%,50.8%,53.3%,51.2%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.5%,5.6%,6.8%,5.8%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,36.5%,36.4%,38.2%,38.1%,36.0%,38.1%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Population,"All people, both children and adults, living in a given geographic area.","119,871","123,447","137,599","121,925","111,952","116,696",
BK 10,Bay Ridge/Dyker Heights,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,16.2%,15.8%,13.1%,18.8%,19.0%,21.9%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,26.3%,27.5%,29.7%,27.1%,24.3%,28.3%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Single-person households,The share of households that include only one person.,,29.9%,30.3%,30.6%,30.8%,32.6%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,13.6%,16.7%,24.8%,23.6%,21.5%,21.9%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,1.1%,1.7%,0.8%,2.1%,1.8%,1.0%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,10.8%,15.6%,14.0%,17.8%,22.7%,20.4%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,69.5%,65.1%,56.8%,53.6%,50.9%,53.8%,
