Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 12,Washington Heights/Inwood,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,38.5%,34.6%,38.6%,39.3%,38.5%,
MN 12,Washington Heights/Inwood,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,8.3%,11.7%,13.8%,11.2%,
MN 12,Washington Heights/Inwood,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,53.3%,50.3%,50.1%,43.7%,45.5%,43.7%,
MN 12,Washington Heights/Inwood,Demographics,Population,"All people, both children and adults, living in a given geographic area.","208,414","208,867","205,414","204,096","216,768","202,678",
MN 12,Washington Heights/Inwood,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.9%,12.5%,12.0%,15.6%,18.0%,19.6%,
MN 12,Washington Heights/Inwood,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,40.8%,34.0%,28.7%,25.8%,23.2%,24.8%,
MN 12,Washington Heights/Inwood,Demographics,Single-person households,The share of households that include only one person.,,34.0%,32.0%,36.7%,31.9%,39.4%,
MN 12,Washington Heights/Inwood,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,2.0%,1.4%,2.0%,2.5%,2.7%,3.0%,
MN 12,Washington Heights/Inwood,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,8.4%,8.6%,7.4%,7.9%,7.3%,6.8%,
MN 12,Washington Heights/Inwood,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,74.1%,74.3%,70.2%,67.9%,67.9%,66.5%,
MN 12,Washington Heights/Inwood,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,13.6%,14.1%,18.9%,19.2%,19.7%,20.3%,
MN 12,Washington Heights/Inwood,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.43,0.42,0.47,0.49,0.49,0.51,
MN 12,Washington Heights/Inwood,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.5,4.7,5.7,5.8,6.7,
MN 12,Washington Heights/Inwood,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,6.5%,8.3%,10.3%,10.5%,12.0%,13.7%,
MN 12,Washington Heights/Inwood,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$54,580","$47,400","$55,040","$61,940","$60,280","$62,190",
MN 12,Washington Heights/Inwood,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$89,380","$130,340","$104,990","$122,240","$148,770",
MN 12,Washington Heights/Inwood,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$44,530","$51,120","$58,450","$56,200","$55,090",
MN 12,Washington Heights/Inwood,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,29.8%,28.1%,19.5%,15.5%,21.0%,20.1%,
MN 12,Washington Heights/Inwood,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,21.2%,22.0%,29.2%,23.0%,30.1%,
MN 12,Washington Heights/Inwood,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,43.3%,26.5%,17.4%,28.1%,22.7%,
MN 12,Washington Heights/Inwood,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,62.9%,67.0%,67.5%,62.7%,63.0%,
MN 12,Washington Heights/Inwood,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,32.4%,33.3%,25.0%,23.8%,23.0%,
MN 12,Washington Heights/Inwood,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",14.5%,11.3%,13.6%,6.2%,18.6%,6.0%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,1.2%,1.7%,2.4%,2.7%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,122.1,153.9,181.3,174.7,188.2,215.7
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.9%,5.0%,4.9%,5.3%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,634.9,650.4,654.2,593.5,573.4,645.5
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,280","$1,500","$1,600","$1,640",
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,310","$1,530","$1,580","$1,610",
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,130","$1,220","$1,390","$1,520","$1,540","$1,630",
