Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 05,Ridgewood/Maspeth,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,54.6%,55.7%,53.4%,50.5%,51.5%,
QN 05,Ridgewood/Maspeth,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,5.9%,5.7%,5.5%,7.0%,
QN 05,Ridgewood/Maspeth,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,35.9%,40.0%,39.0%,36.0%,39.8%,38.8%,
QN 05,Ridgewood/Maspeth,Demographics,Population,"All people, both children and adults, living in a given geographic area.","167,201","179,768","180,932","165,895","168,184","175,992",
QN 05,Ridgewood/Maspeth,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,13.8%,12.5%,12.7%,14.1%,14.6%,16.3%,
QN 05,Ridgewood/Maspeth,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,35.0%,37.8%,36.4%,29.2%,25.3%,27.4%,
QN 05,Ridgewood/Maspeth,Demographics,Single-person households,The share of households that include only one person.,,23.9%,22.9%,26.2%,24.9%,22.3%,
QN 05,Ridgewood/Maspeth,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,6.3%,6.4%,8.9%,8.8%,9.8%,9.9%,
QN 05,Ridgewood/Maspeth,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,1.0%,1.0%,1.1%,2.2%,1.7%,1.9%,
QN 05,Ridgewood/Maspeth,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,28.1%,32.5%,37.1%,35.6%,37.2%,37.9%,
QN 05,Ridgewood/Maspeth,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,62.2%,59.0%,51.7%,52.0%,47.7%,46.5%,
QN 05,Ridgewood/Maspeth,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.53,0.54,0.59,0.59,0.62,0.63,
