Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 03,Bedford Stuyvesant,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,64.4%,59.0%,57.5%,59.4%,53.3%,
BK 03,Bedford Stuyvesant,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,7.9%,7.4%,8.9%,11.3%,
BK 03,Bedford Stuyvesant,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,18.4%,19.6%,22.2%,19.1%,17.4%,19.6%,
BK 03,Bedford Stuyvesant,Demographics,Population,"All people, both children and adults, living in a given geographic area.","121,054","132,087","133,302","144,306","137,061","166,380",
BK 03,Bedford Stuyvesant,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,8.8%,9.4%,10.7%,10.3%,9.0%,11.0%,
BK 03,Bedford Stuyvesant,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,45.0%,40.5%,36.1%,25.9%,26.3%,24.3%,
BK 03,Bedford Stuyvesant,Demographics,Single-person households,The share of households that include only one person.,,33.0%,30.9%,28.3%,32.9%,30.6%,
BK 03,Bedford Stuyvesant,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,0.8%,2.3%,3.9%,3.0%,3.0%,4.2%,
BK 03,Bedford Stuyvesant,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,74.9%,67.0%,60.1%,45.6%,40.4%,41.2%,
BK 03,Bedford Stuyvesant,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,19.0%,18.5%,20.0%,19.5%,16.9%,17.8%,
BK 03,Bedford Stuyvesant,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,2.4%,10.4%,14.6%,29.4%,32.7%,29.3%,
BK 03,Bedford Stuyvesant,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.40,0.51,0.58,0.67,0.70,0.71,
BK 03,Bedford Stuyvesant,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,8.1,7.1,5.5,6.2,6.2,
BK 03,Bedford Stuyvesant,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,19.2%,26.1%,20.4%,18.4%,25.8%,19.5%,
BK 03,Bedford Stuyvesant,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$41,480","$40,270","$49,440","$70,830","$75,590","$73,840",
BK 03,Bedford Stuyvesant,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$103,660","$108,940","$135,360","$121,190","$143,210",
BK 03,Bedford Stuyvesant,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$25,520","$35,450","$58,400","$58,680","$67,920",
BK 03,Bedford Stuyvesant,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,35.9%,37.7%,30.7%,23.0%,24.2%,24.8%,
BK 03,Bedford Stuyvesant,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,29.2%,27.8%,16.8%,18.5%,26.8%,
BK 03,Bedford Stuyvesant,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,53.0%,47.0%,30.6%,33.0%,33.6%,
BK 03,Bedford Stuyvesant,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,57.4%,58.3%,66.2%,68.8%,67.3%,
BK 03,Bedford Stuyvesant,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,29.4%,23.6%,14.7%,13.2%,12.6%,
BK 03,Bedford Stuyvesant,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",17.9%,12.8%,12.8%,6.6%,10.7%,8.5%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,6.1%,4.6%,3.7%,2.9%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,130.9,103.5,116.4,112.9,109.9,136.7
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.2%,3.4%,3.2%,3.2%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,548.0,375.4,432.6,508.1,446.3,502.3
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,150","$1,460","$1,680","$1,760",
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,260","$1,570","$1,820","$1,960",
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$940,"$1,050","$1,270","$1,660","$1,980","$1,950",
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,590","$2,320","$2,570","$2,710",
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,6.8%,,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,9.7%,9.6%,9.8%,9.5%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,63.9%,40.1%,36.0%,33.7%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,97.0%,90.2%,90.8%,91.5%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,21.8%,24.1%,26.4%,21.2%,24.8%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,26.4%,28.6%,27.7%,27.7%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,17.2%,34.9%,30.9%,28.9%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,28.8%,,32.4%,27.5%,27.7%,27.8%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,43.8%,40.9%,44.5%,44.9%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.0%,1.7%,1.5%,1.0%,
BK 03,Bedford Stuyvesant,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,12.6%,7.3%,,,
BK 03,Bedford Stuyvesant,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"50,957","56,935","61,818","54,893","73,542",
BK 03,Bedford Stuyvesant,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",34.6,46.6,52.5,15.7,10.4,11.9,
BK 03,Bedford Stuyvesant,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,473,671,829,255,179,210,
BK 03,Bedford Stuyvesant,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,301,508,407,111,58,84,
BK 03,Bedford Stuyvesant,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,70,86,310,117,98,99,
BK 03,Bedford Stuyvesant,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,59.6,30.4,56.0,43.7
BK 03,Bedford Stuyvesant,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,867,467,860,681
BK 03,Bedford Stuyvesant,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,73,20,29,,,,
BK 03,Bedford Stuyvesant,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,1.6%,65.8%,0.6%,2.0%,2.1%,
BK 03,Bedford Stuyvesant,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,44.4%,2.2%,0.9%,0.5%,1.0%,
BK 03,Bedford Stuyvesant,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,49.2%,10.9%,3.0%,0.8%,1.9%,
BK 03,Bedford Stuyvesant,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,79.9,17.8,24.0,42.3,33.6,
BK 03,Bedford Stuyvesant,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,93.3%,4.5%,60.9%,63.2%,40.4%,
BK 03,Bedford Stuyvesant,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,4.9%,89.3%,0.6%,3.1%,5.4%,
BK 03,Bedford Stuyvesant,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,102.7,13.1,29.3,55.2,22.2,
BK 03,Bedford Stuyvesant,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,38,82,17,24,25,26,39
BK 03,Bedford Stuyvesant,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,459,"1,052",391,248,207,342,305
BK 03,Bedford Stuyvesant,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,78,110,64,28,42,53,37
BK 03,Bedford Stuyvesant,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,8,256,162,252,427,305,207
BK 03,Bedford Stuyvesant,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,583,"1,500",634,552,701,726,588
BK 03,Bedford Stuyvesant,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$356,400","$725,120","$437,150","$1,186,520","$1,569,770","$1,531,390","$1,835,000"
BK 03,Bedford Stuyvesant,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$176,440","$371,470","$216,890","$631,850","$670,130","$698,640","$650,000"
BK 03,Bedford Stuyvesant,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$53,300","$134,040","$115,750","$354,510","$348,840","$334,540","$355,000"
BK 03,Bedford Stuyvesant,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$304,140","$570,310","$488,670","$831,060","$956,220","$861,730","$785,000"
BK 03,Bedford Stuyvesant,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,268.8,128.7,408.7,462.9,649.1,558.2
BK 03,Bedford Stuyvesant,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,264.6,153.6,465.5,542.0,572.1,570.3
BK 03,Bedford Stuyvesant,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,289.3,231.5,898.2,878.0,658.0,730.6
BK 03,Bedford Stuyvesant,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,239.6,184.1,431.7,459.8,479.6,493.6
BK 03,Bedford Stuyvesant,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,267.3,166.4,472.5,518.0,552.1,565.2
BK 03,Bedford Stuyvesant,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,125,0,255,496,762,"1,981",280
BK 03,Bedford Stuyvesant,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,94,816,337,894,"1,004","1,114",537
BK 03,Bedford Stuyvesant,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,57.5,58.0,62.8,59.7,72.4,
BK 03,Bedford Stuyvesant,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,848
BK 03,Bedford Stuyvesant,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,3
BK 03,Bedford Stuyvesant,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,363
BK 03,Bedford Stuyvesant,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,42
BK 03,Bedford Stuyvesant,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,"2,535"
BK 03,Bedford Stuyvesant,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,178
