Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 03,Lower East Side/Chinatown,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,37.6%,37.2%,35.6%,42.6%,39.0%,
MN 03,Lower East Side/Chinatown,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.2%,7.1%,8.9%,8.7%,
MN 03,Lower East Side/Chinatown,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,40.3%,39.3%,35.2%,35.7%,30.3%,31.9%,
MN 03,Lower East Side/Chinatown,Demographics,Population,"All people, both children and adults, living in a given geographic area.","166,379","178,669","159,009","167,128","141,066","141,787",
MN 03,Lower East Side/Chinatown,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,13.4%,13.7%,14.3%,22.2%,18.8%,21.9%,
MN 03,Lower East Side/Chinatown,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,22.1%,18.3%,16.3%,12.3%,12.5%,12.5%,
MN 03,Lower East Side/Chinatown,Demographics,Single-person households,The share of households that include only one person.,,47.4%,45.3%,49.9%,50.3%,49.0%,
MN 03,Lower East Side/Chinatown,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,34.8%,34.8%,34.7%,32.8%,28.1%,26.9%,
MN 03,Lower East Side/Chinatown,Demographics,Percent Black,The percentage of the total population that identifies as Black (non-Hispanic).,7.5%,9.7%,6.4%,7.6%,11.0%,7.4%,
MN 03,Lower East Side/Chinatown,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,27.0%,21.4%,22.9%,25.4%,25.0%,26.0%,
MN 03,Lower East Side/Chinatown,Demographics,Percent White,The percentage of the total population that identifies as White (non-Hispanic).,28.1%,32.4%,33.7%,30.3%,32.6%,33.8%,
MN 03,Lower East Side/Chinatown,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.72,0.72,0.71,0.73,0.74,0.74,
MN 03,Lower East Side/Chinatown,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.9,6.9,10.4,8.6,11.8,
MN 03,Lower East Side/Chinatown,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,12.0%,10.8%,13.6%,10.8%,15.5%,15.8%,
MN 03,Lower East Side/Chinatown,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$52,760","$53,840","$56,570","$47,810","$54,730","$58,540",
MN 03,Lower East Side/Chinatown,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$92,170","$122,990","$110,730","$124,970","$128,410",
MN 03,Lower East Side/Chinatown,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$50,420","$48,650","$42,890","$46,500","$51,950",
MN 03,Lower East Side/Chinatown,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,28.4%,25.1%,22.2%,24.0%,24.2%,26.0%,
MN 03,Lower East Side/Chinatown,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,38.2%,25.2%,30.8%,28.6%,36.8%,
MN 03,Lower East Side/Chinatown,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,39.3%,30.9%,35.7%,32.2%,34.9%,
MN 03,Lower East Side/Chinatown,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,60.1%,61.2%,56.6%,57.5%,58.4%,
MN 03,Lower East Side/Chinatown,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,28.9%,26.6%,28.8%,21.1%,21.9%,
MN 03,Lower East Side/Chinatown,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",9.4%,7.5%,10.1%,5.2%,10.1%,7.1%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.4%,2.9%,4.3%,4.5%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,23.4,24.2,46.6,47.6,56.5,77.7
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,4.0%,3.8%,3.3%,3.1%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,132.4,109.9,179.7,202.6,188.4,222.9
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,220","$1,390","$1,550","$1,610",
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,030","$1,170","$1,200","$1,190",
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$960,"$1,130","$1,230","$1,210","$1,300","$1,360",
