Board,SentimentScore,SentimentScore,WalkScore,BikeScore,TransitScore,Born in New York State,Disabled population,Single-person households,Racial diversity index,Income diversity ratio,"Median household income, homeowners (2023$)","Median household income, renters (2023$)","Poverty rate, population aged 65+","Poverty rate, population under 18 years old",Labor force participation rate,Population aged 25+ without a high school diploma,Rental vacancy rate,"Serious housing code violations (per 1,000 privately owned rental units)",Severe crowding rate (% of renter households),"Total housing code violations (per 1,000 privately owned rental units)","Median rent, studios and 1-bedrooms (2023$)","Median rent, 2- and 3-bedrooms (2023$)","Median rent, recent movers (2023$)",Change in collected rent (2019-2020),Rental units affordable at  30% AMI (% of recently available units),Rental units affordable at  80% AMI (% of recently available units),Rental units affordable at 120% AMI (% of recently available units),Moderately rent-burdened households,"Moderately rent-burdened households, low income","Moderately rent-burdened households, moderate income","Severely rent-burdened households, low income","Severely rent-burdened households, moderate income","Housing choice vouchers (% of occupied, privately owned rental units)",Housing units,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","Notices of foreclosure, all residential properties","Notices of foreclosure, initial, 1-4 family and condo properties","Notices of foreclosure, repeat, 1-4 family and condo properties","Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","Pre-foreclosure notices, 1-4 family and condo properties","Properties entering REO, 1-4 family",FHA/VA-backed home purchase loans (% of home purchase loans),Higher-cost home purchase loans (% of home purchase loans),Higher-cost refinance loans (% of refinance loans),"Home purchase loan rate (per 1,000 properties)",Home purchase loans in LMI tracts (% of home purchase loans),Home purchase loans to LMI borrowers (% of home purchase loans),"Refinance loan rate (per 1,000 properties)","Sales volume, 2-4 family building","Sales volume, 5+ family building","Sales volume, condominium","Index of housing price appreciation, 1 family building","Index of housing price appreciation, 2-4 family building","Index of housing price appreciation, 5+ family building","Index of housing price appreciation, condominium","Index of housing price appreciation, all property types",Units issued new certificates of occupancy,"Population density (1,000 persons per square mile)",Total number of subsidized properties (properties),HUD Financing or Insurance (properties),HUD Financing or Insurance (units),HUD Project-based Rental Assistance Program (properties),HUD Project-based Rental Assistance Program (units),Low Income Housing Tax Credit (properties),Low Income Housing Tax Credit (units),Public Housing (properties),Public Housing (units),Public housing (% of rental units),Mitchell-Lama (properties),Mitchell-Lama (units),421-a Tax Exemption (properties),421-a Tax Exemption (units),420-c Tax Exemption (properties),420-c Tax Exemption (units),NYC Housing Production Programs and Zoning Incentives or Requirements (properties),Eligible to expire from housing programs between 2024 and 2029 (properties),Eligible to expire from housing programs between 2024 and 2029 (units),Eligible to expire from housing programs between 2030 and 2039 (properties),Eligible to expire from housing programs between 2030 and 2039 (units),Eligible to expire from housing programs in 2040 and later (properties),Eligible to expire from housing programs in 2040 and later (units),Mean travel time to work (minutes),"Serious crime rate (per 1,000 residents)","Serious crime rate, property (per 1,000 residents)","Serious crime rate, violent (per 1,000 residents)","Students performing at grade level in English language arts, 4th grade","Students performing at grade level in math, 4th grade",City Parks in District (acres),"City Parks in District per 1,000 residents (acres)","City Parks in District per 1,000 children (acres)","City Parks in District per 1,000 seniors (acres)",Community Gardens,Recreation Centers,Playgrounds,Swimming Pools,Dog Runs,Sprayshowers,Public Schools,"Park-Related 311 calls per 1,000 residents",Park Volunteer Groups,SentimentScore,SentimentScore,Neighborhood,Foreign-born population,Population,Population aged 65+,Households with children under 18 years old,Percent Asian,Percent Black,Percent Hispanic,Percent White,Homeownership rate,Median household income (2023$),Poverty rate,Unemployment rate,"Median rent, all (2023$)",Severely rent-burdened households,"Sales volume, 1 family building","Sales volume, all property types","Median sales price per unit, 1 family building (2023$)","Median sales price per unit, 2-4 family building (2023$)","Median sales price per unit, 5+ family building (2023$)","Median sales price per unit, condominium (2023$)",Units authorized by new residential building permits,Car-free commute (% of commuters),Total District Land (acres),"City, State, & Federal Parkland (acres)",Percent Parkland,Percent City Parks in District,Residents within a 5 minute walk of a park,Parks 'Acceptable' for Condition,Parks 'Acceptable' for Cleanliness
BK 01,2.128571429,2.128571429,95.5,82,85,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,56,27,7,,,5,,,,,,,,131,63,72,100,100,100,100,100,114,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,118,0.6,2.6,6.7,20,2,38,4,5,16,34,14,20,2.128571429,2.128571429,Greenpoint,33.50%,"142,098",9.90%,35.00%,3.90%,4.00%,34.10%,52.50%,14.50%,"$49,120 ",33.80%,9.80%,"$1,060 ",23.70%,12,278,"$417,270 ","$188,200 ","$66,160 ","$468,150 ",757,76.60%,"3,116",144,5%,4%,84%,76%,93%
BK 02,4.353074814,4.353074814,97.5,89,100,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,84,46,13,,,3,,,,,,,,172,27,42,100,100,100,100,100,86,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,100,0.8,4.8,7.5,13,0,25,3,4,18,38,17,13,4.353074814,4.353074814,BrooklynHeights,16.90%,"115,106",9.80%,24.70%,4.20%,41.80%,19.30%,31.10%,26.30%,"$74,770 ",24.50%,10.70%,"$1,200 ",18.60%,20,261,"$1,040,980 ","$301,150 ","$110,270 ","$388,160 ",151,81.50%,"1,928",122,6%,5%,89%,77%,93%
BK 03,2.670454545,2.670454545,94,79,97,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,473,301,70,,,73,,,,,,,,459,78,8,100,100,100,100,100,94,,,,,,,,,,,,,,,,,,,,,,,,,44.7,,,,,,60,0.4,1.6,3.5,59,1,30,3,1,16,44,10,9,2.670454545,2.670454545,BedStuy,18.40%,"121,054",8.80%,45.00%,0.80%,74.90%,19.00%,2.40%,19.20%,"$41,480 ",35.90%,17.90%,$940 ,28.80%,38,583,"$356,400 ","$176,440 ","$53,300 ","$304,140 ",125,73.40%,"1,824",60,3%,3%,89%,81%,92%
BK 04,3.139534884,3.139534884,95,84,98,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,242,102,26,,,49,,,,,,,,286,119,0,100,100,100,100,100,4,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,,,,,28,0.2,1.2,2.8,17,0,13,0,1,10,34,9,7,3.139534884,3.139534884,Bushwick,33.20%,"120,710",6.70%,53.60%,2.80%,23.40%,67.80%,3.10%,13.70%,"$41,840 ",38.20%,17.20%,"$1,070 ",31.90%,18,423,"$298,710 ","$152,620 ","$69,990 ",,225,73.60%,"1,301",27,2%,2%,81%,82%,88%
BK 06,5.828471272,5.828471272,97.5,92,98,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,43,23,13,,,4,,,,,,,,226,35,136,100,100,100,100,100,34,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,,,,,79,0.7,3.2,6.4,14,1,19,3,3,8,29,22,6,5.828471272,5.828471272,RedHookBK,17.40%,"105,555",8.60%,25.10%,4.70%,11.20%,24.20%,56.00%,28.70%,"$96,420 ",14.40%,5.50%,"$1,550 ",18.40%,33,430,"$749,860 ","$337,440 ","$110,050 ","$438,320 ",101,81.50%,"3,270",209,6%,2%,75%,88%,95%
BK 07,4.9,4.9,95,74,96,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,73,46,10,,,7,,,,,,,,368,29,10,100,100,100,100,100,55,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,40,0.3,1.4,3.2,4,1,12,3,1,8,26,12,3,4.9,4.9,SunsetPark,46.40%,"139,269",9.10%,42.40%,21.80%,3.40%,47.90%,23.00%,25.20%,"$60,400 ",26.30%,8.30%,"$1,250 ",26.40%,36,443,"$423,450 ","$220,550 ","$80,870 ","$326,410 ",81,72.80%,"3,544",172,5%,1%,75%,84%,94%
BK 08,4.400172117,4.400172117,96,88.5,100,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,175,88,26,,,18,,,,,,,,168,59,25,100,100,100,100,100,17,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,55,0.5,3,4.7,11,1,8,1,0,5,20,13,6,4.400172117,4.400172117,ProspectHeights,30.70%,"123,117",9.60%,38.20%,1.50%,78.10%,9.80%,7.40%,16.00%,"$54,580 ",28.20%,14.70%,"$1,060 ",24.70%,11,263,"$352,870 ","$175,260 ","$69,470 ","$181,730 ",152,78.80%,"1,047",557,47%,5%,77%,87%,93%
BK 10,2.869272237,2.869272237,91.5,66.5,87,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,35,20,9,,,1,,,,,,,,229,16,58,100,100,100,100,100,90,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,386,3.1,15.4,18.7,0,2,14,0,2,6,18,19,6,2.869272237,2.869272237,BayRidge,36.50%,"119,871",16.20%,26.30%,13.60%,1.10%,10.80%,69.50%,33.60%,"$78,230 ",13.90%,6.10%,"$1,340 ",21.20%,199,502,"$579,600 ","$299,060 ","$102,280 ","$384,650 ",99,59.40%,"4,639",390,8%,8%,67%,77%,91%
BK 11,5.013157895,5.013157895,93,58,87,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,53,36,9,,,1,,,,,,,,446,20,33,100,100,100,100,100,86,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,,,60,0.3,1.4,2.1,0,0,7,0,0,6,24,11,1,5.013157895,5.013157895,Bensonhurst,50.70%,"171,778",17.00%,31.90%,23.10%,0.40%,8.80%,64.70%,31.20%,"$61,850 ",19.70%,7.10%,"$1,270 ",30.90%,125,624,"$464,030 ","$255,830 ","$85,470 ","$456,210 ",97,63.30%,"3,769",61,2%,2%,55%,82%,93%
BK 14,2.472972973,2.472972973,90.5,64,95,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,79,59,10,,,3,,,,,,,,129,13,10,100,100,100,100,100,24,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,43,0.3,1.1,2.1,1,0,7,0,0,3,25,11,2,2.472972973,2.472972973,Flatbush,49.40%,"166,315",10.80%,41.80%,8.00%,37.40%,12.90%,37.60%,20.40%,"$63,670 ",22.80%,10.70%,"$1,230 ",28.20%,183,335,"$652,820 ","$247,010 ","$68,810 ","$183,050 ",0,68.10%,"1,887",113,6%,2%,44%,93%,96%
