Neighborhood,Total District Land (acres),"City, State, & Federal Parkland (acres)",Percent Parkland,City Parks in District (acres),Percent City Parks in District,"City Parks in District per 1,000 residents (acres)",Residents within a 5 minute walk of a park,"City Parks in District per 1,000 children (acres)","City Parks in District per 1,000 seniors (acres)",Community Gardens,Recreation Centers,Playgrounds,Swimming Pools,Dog Runs,Sprayshowers,Public Schools,Parks 'Acceptable' for Condition,Parks 'Acceptable' for Cleanliness,"Park-Related 311 calls per 1,000 residents",Park Volunteer Groups,Total District Land (acres),"City, State, & Federal Parkland (acres)",Percent Parkland,City Parks in District (acres),Percent City Parks in District,"City Parks in District per 1,000 residents (acres)",Residents within a 5 minute walk of a park,"City Parks in District per 1,000 children (acres)","City Parks in District per 1,000 seniors (acres)",Community Gardens,Recreation Centers,Playgrounds,Swimming Pools,Dog Runs,Sprayshowers,Public Schools,Parks 'Acceptable' for Condition,Parks 'Acceptable' for Cleanliness,"Park-Related 311 calls per 1,000 residents",Park Volunteer Groups
BK 01 Data,"3,116",144,5%,118,4%,0.6,84%,2.6,6.7,20,2,38,4,5,16,34,76%,93%,14,20,"3,116",144,5%,118,4%,0.6,84%,2.6,6.7,20,2,38,4,5,16,34,76%,93%,14,20
BK 02 Data,"1,928",122,6%,100,5%,0.8,89%,4.8,7.5,13,0,25,3,4,18,38,77%,93%,17,13,"1,928",122,6%,100,5%,0.8,89%,4.8,7.5,13,0,25,3,4,18,38,77%,93%,17,13
BK 03 Data,"1,824",60,3%,60,3%,0.4,89%,1.6,3.5,59,1,30,3,1,16,44,81%,92%,10,9,"1,824",60,3%,60,3%,0.4,89%,1.6,3.5,59,1,30,3,1,16,44,81%,92%,10,9
BK 04 Data,"1,301",27,2%,28,2%,0.2,81%,1.2,2.8,17,0,13,0,1,10,34,82%,88%,9,7,"1,301",27,2%,28,2%,0.2,81%,1.2,2.8,17,0,13,0,1,10,34,82%,88%,9,7
BK 06 Data,"3,270",209,6%,79,2%,0.7,75%,3.2,6.4,14,1,19,3,3,8,29,88%,95%,22,6,"3,270",209,6%,79,2%,0.7,75%,3.2,6.4,14,1,19,3,3,8,29,88%,95%,22,6
BK 07 Data,"3,544",172,5%,40,1%,0.3,75%,1.4,3.2,4,1,12,3,1,8,26,84%,94%,12,3,"3,544",172,5%,40,1%,0.3,75%,1.4,3.2,4,1,12,3,1,8,26,84%,94%,12,3
BK 08 Data,"1,047",557,47%,55,5%,0.5,77%,3.0,4.7,11,1,8,1,0,5,20,87%,93%,13,6,"1,047",557,47%,55,5%,0.5,77%,3.0,4.7,11,1,8,1,0,5,20,87%,93%,13,6
BK 09 Data,"1,041",148,13%,24,2%,0.2,77%,1.1,1.8,3,0,7,0,0,1,27,91%,96%,8,5,"1,041",148,13%,24,2%,0.2,77%,1.1,1.8,3,0,7,0,0,1,27,91%,96%,8,5
BK 10 Data,"4,639",390,8%,386,8%,3.1,67%,15.4,18.7,0,2,14,0,2,6,18,77%,91%,19,6,"4,639",390,8%,386,8%,3.1,67%,15.4,18.7,0,2,14,0,2,6,18,77%,91%,19,6
BK 11 Data,"3,769",61,2%,60,2%,0.3,55%,1.4,2.1,0,0,7,0,0,6,24,82%,93%,11,1,"3,769",61,2%,60,2%,0.3,55%,1.4,2.1,0,0,7,0,0,6,24,82%,93%,11,1
BK 13 Data,"5,057",655,13%,393,8%,3.8,69%,19.3,15.8,2,0,17,0,0,19,25,80%,90%,7,5,"5,057",655,13%,393,8%,3.8,69%,19.3,15.8,2,0,17,0,0,19,25,80%,90%,7,5
BK 14 Data,"1,887",113,6%,43,2%,0.3,44%,1.1,2.1,1,0,7,0,0,3,25,93%,96%,11,2,"1,887",113,6%,43,2%,0.3,44%,1.1,2.1,1,0,7,0,0,3,25,93%,96%,11,2
BK 15 Data,"3,709","1,232",25%,119,3%,0.7,61%,3.3,3.9,1,0,16,0,1,13,23,79%,92%,19,4,"3,709","1,232",25%,119,3%,0.7,61%,3.3,3.9,1,0,16,0,1,13,23,79%,92%,19,4
BK 17 Data,"2,154",15,1%,15,1%,0.1,52%,0.5,0.6,1,0,8,0,0,6,31,90%,96%,10,2,"2,154",15,1%,15,1%,0.1,52%,0.5,0.6,1,0,8,0,0,6,31,90%,96%,10,2
MN 02 Data,"1,173",157,13%,18,2%,0.2,86%,2.2,1.2,2,1,15,4,2,7,11,95%,97%,13,13,"1,173",157,13%,18,2%,0.2,86%,2.2,1.2,2,1,15,4,2,7,11,95%,97%,13,13
MN 03 Data,"1,572",117,7%,111,7%,0.7,88%,6.4,4.1,49,2,34,5,3,24,46,73%,85%,10,26,"1,572",117,7%,111,7%,0.7,88%,6.4,4.1,49,2,34,5,3,24,46,73%,85%,10,26
MN 07 Data,"1,837",607,28%,190,10%,0.9,84%,6.0,4.5,4,2,21,2,5,16,38,91%,96%,6,7,"1,837",607,28%,190,10%,0.9,84%,6.0,4.5,4,2,21,2,5,16,38,91%,96%,6,7
MN 08 Data,"1,643",304,16%,40,2%,0.2,57%,1.3,0.9,0,0,8,2,3,3,25,82%,95%,7,10,"1,643",304,16%,40,2%,0.2,57%,1.3,0.9,0,0,8,2,3,3,25,82%,95%,7,10
MN 10 Data,959,119,12%,46,5%,0.3,93%,1.6,3.2,32,2,17,5,0,12,28,78%,89%,7,25,959,119,12%,46,5%,0.3,93%,1.6,3.2,32,2,17,5,0,12,28,78%,89%,7,25
MN 11 Data,"2,089",598,27%,395,19%,3.1,95%,15.1,24.0,34,2,29,8,2,15,39,74%,88%,6,18,"2,089",598,27%,395,19%,3.1,95%,15.1,24.0,34,2,29,8,2,15,39,74%,88%,6,18
MN 12 Data,"2,993",644,21%,555,19%,2.7,93%,15.5,18.8,4,2,21,2,5,12,51,77%,88%,6,43,"2,993",644,21%,555,19%,2.7,93%,15.5,18.8,4,2,21,2,5,12,51,77%,88%,6,43
QN 01 Data,"4,535",137,3%,124,3%,0.7,54%,4.9,5.5,2,1,24,3,0,12,32,80%,93%,13,17,"4,535",137,3%,124,3%,0.7,54%,4.9,5.5,2,1,24,3,0,12,32,80%,93%,13,17
QN 02 Data,"3,282",46,1%,31,1%,0.3,62%,1.6,2.1,6,0,10,1,5,5,32,87%,93%,11,5,"3,282",46,1%,31,1%,0.3,62%,1.6,2.1,6,0,10,1,5,5,32,87%,93%,11,5
QN 03 Data,"1,917",152,7%,66,3%,0.4,52%,1.9,3.1,3,1,9,2,0,7,22,95%,98%,11,10,"1,917",152,7%,66,3%,0.4,52%,1.9,3.1,3,1,9,2,0,7,22,95%,98%,11,10
QN 04 Data,"1,509",140,9%,26,2%,0.2,67%,0.7,1.3,2,2,10,0,1,8,27,90%,95%,6,10,"1,509",140,9%,26,2%,0.2,67%,0.7,1.3,2,2,10,0,1,8,27,90%,95%,6,10
QN 05 Data,"4,852",331,7%,217,4%,1.2,51%,5.4,9.6,0,0,16,0,0,11,29,87%,98%,19,6,"4,852",331,7%,217,4%,1.2,51%,5.4,9.6,0,0,16,0,0,11,29,87%,98%,19,6
QN 06 Data,"1,899",394,17%,50,3%,0.4,62%,2.5,2.1,1,1,12,0,1,6,17,95%,98%,11,4,"1,899",394,17%,50,3%,0.4,62%,2.5,2.1,1,1,12,0,1,6,17,95%,98%,11,4
QN 07 Data,"10,534","1,258",11%,662,6%,2.7,57%,15.3,14.2,1,4,32,4,1,23,34,88%,94%,16,21,"10,534","1,258",11%,662,6%,2.7,57%,15.3,14.2,1,4,32,4,1,23,34,88%,94%,16,21
QN 12 Data,"6,137",274,4%,266,4%,1.1,53%,4.9,8.2,16,3,28,3,0,21,63,85%,93%,13,16,"6,137",274,4%,266,4%,1.1,53%,4.9,8.2,16,3,28,3,0,21,63,85%,93%,13,16
QN 14 Data,"7,411","5,711",49%,695,9%,5.5,53%,20.3,39.2,9,1,26,0,1,17,35,90%,92%,7,14,"7,411","5,711",49%,695,9%,5.5,53%,20.3,39.2,9,1,26,0,1,17,35,90%,92%,7,14
