Neighborhood,SentimentScore
RedHookBK,9.6875
SheepsheadBay,8.0
CarrollGardens,7.117647058823529
BrooklynHeights,6.956521739130435
Woodhaven,6.857142857142857
EastVillage,6.487179487179487
ProspectHeights,5.571428571428571
ForestHills,5.25
Bensonhurst,5.0131578947368425
CobbleHill,5.0
SunsetPark,4.9
Harlem,4.8076923076923075
LowerEastSide,4.679012345679013
SunnysideQueens,4.4393939393939394
ParkSlope,4.337209302325581
GreenwichVillage,4.0
LenoxHill,3.923076923076923
DowntownBrooklyn,3.8
Inwood,3.76
ChelseaNYC,3.6875
Flushing,3.539473684210526
BayRidge,3.452830188679245
CrownHeights,3.2289156626506026
JacksonHeights,3.216867469879518
FortGreene,3.2027027027027026
Bushwick,3.13953488372093
UpperWestSide,3.088888888888889
Gowanus,3.0
DUMBO,2.9
Greenpoint,2.857142857142857
Astoria,2.8452380952380953
LongIslandCity,2.6790123456790123
BedStuy,2.6704545454545454
WashingtonHeights,2.5555555555555554
Ridgewood,2.4842105263157896
Flatbush,2.472972972972973
DykerHeights,2.2857142857142856
Hellskitchen,1.943661971830986
MiddleVillage,1.8387096774193548
Woodside,1.6835443037974684
DitmasPark,1.5
Williamsburg,1.4
FarRockaway,1.1875
RegoPark,-27.5
