Neighborhood,PolarityScore,SubjectivityScore
DitmasPark,0.31556174057949626,0.47112272788764264
Gowanus,0.24583333333333335,0.3916666666666667
SheepsheadBay,0.22282818261984927,0.4309699675324676
BrooklynHeights,0.20903302658349238,0.4295285317684385
DowntownBrooklyn,0.20583517090548337,0.3948034683570397
ChelseaNYC,0.20334971163096166,0.3469855954230954
RedHookBK,0.19894258645963458,0.4566393690166965
Inwood,0.17883302154195008,0.40868088086516663
ProspectHeights,0.17126296738031432,0.3891042912114341
FortGreene,0.16764969634896582,0.40269453883901934
CrownHeights,0.16607451813957264,0.4463591053878855
Harlem,0.16575860822684754,0.44853995100049543
LowerEastSide,0.16530116310492024,0.3966722748745553
DykerHeights,0.1608355558132344,0.30995993094207375
Bensonhurst,0.160072793254551,0.38172686741939765
SunnysideQueens,0.1595165342155691,0.4193798688657874
Flushing,0.1538647206693422,0.45689527029336857
Flatbush,0.1534497603403177,0.3885212993458393
LenoxHill,0.14896853146853145,0.48966366966366964
JacksonHeights,0.14542528434255309,0.3575047351881329
BayRidge,0.14540593026118684,0.35690176665762724
CarrollGardens,0.14316414671026564,0.4416499914759203
Ridgewood,0.14281593414074517,0.3738833470968546
CobbleHill,0.1397884691066509,0.3653567914769214
Greenpoint,0.1378993736044131,0.38161450782305384
Woodside,0.1368160037588157,0.3548670808630121
EastVillage,0.13530574406497645,0.45693956235785765
SunsetPark,0.12837589023879348,0.45046379695573247
BedStuy,0.12195279242321357,0.4038708287353284
ParkSlope,0.11619445504317355,0.4425055453170222
MiddleVillage,0.11603525101796992,0.316564875216949
LongIslandCity,0.11337537440535099,0.44242109839085264
ForestHills,0.11044004557008495,0.3864169333002236
UpperWestSide,0.1095309714932273,0.3963030510973448
FarRockaway,0.10417949021464648,0.40221946022727273
Bushwick,0.10219922911801536,0.44055104452836724
GreenwichVillage,0.09821086320757569,0.3614077576868273
DUMBO,0.09799382434185794,0.38725541847850253
Astoria,0.09302821637624868,0.39961573446394877
Williamsburg,0.09008151827219636,0.38915084758363866
Woodhaven,0.08345630064380065,0.372327152014652
WashingtonHeights,0.06671198760087649,0.27456946893983925
Hellskitchen,0.06537650533018736,0.4605379941697432
RegoPark,0.06448687182382834,0.47821773636991033
