Neighborhood,SentimentScore
SheepsheadBay,0.8588833333333333
Woodhaven,0.7838428571428572
RedHookBK,0.7537625
EastVillage,0.6629666666666667
CarrollGardens,0.6416264705882352
CobbleHill,0.5805909090909093
Inwood,0.57988
ProspectHeights,0.5764542857142859
SunsetPark,0.5418499999999999
ChelseaNYC,0.50286875
BrooklynHeights,0.4996043478260869
SunnysideQueens,0.4831575757575757
FortGreene,0.48194459459459454
ParkSlope,0.4772611764705881
Bensonhurst,0.4745815789473686
Gowanus,0.4656
BayRidge,0.4651169811320755
Harlem,0.43906923076923093
LongIslandCity,0.42832716049382713
CrownHeights,0.4217397590361445
GreenwichVillage,0.41867599999999994
LowerEastSide,0.4105740740740741
DUMBO,0.4019833333333333
Flatbush,0.39586351351351345
JacksonHeights,0.38452409638554225
Astoria,0.3844238095238096
Greenpoint,0.3665130952380953
Bushwick,0.36193255813953495
ForestHills,0.35087272727272734
UpperWestSide,0.34665555555555555
DowntownBrooklyn,0.34514999999999996
DykerHeights,0.3388857142857143
Flushing,0.3138552631578947
Ridgewood,0.2999705263157896
BedStuy,0.2899602272727273
WashingtonHeights,0.2805296296296297
Woodside,0.2764101265822785
Williamsburg,0.2760876543209877
Hellskitchen,0.2608746478873239
MiddleVillage,0.25474193548387103
LenoxHill,0.1832307692307692
DitmasPark,0.14573750000000002
FarRockaway,0.13485
RegoPark,-0.97665
